1948,60.3,-0.4,71.9,-1.8,73.26,-0.35,34.00,12.00,,
1949,59.1,-1.6,71.5,-2.2,74.21,0.6,71.00,43.00,1968,
1950,60.5,-0.2,74.4,0.7,71.22,-2.39,45.00,22.00,12.00,
1951,58.8,-1.9,73.1,-0.6,73.69,0.08,3.00,64.00,,
1952,61.3,0.6,74.3,0.6,74.1,0.49,74.00,51.00,,
1953,59.7,-1,71.8,-1.9,74.17,0.56,37.00,12.00,,
1954,61.2,0.5,70.4,-3.3,75.47,1.86,79.00,3.00,,
1955,58.8,-1.9,74.9,1.2,74.44,0.83,48.00,1.00,average,60.5
1956,59.5,-1.2,71.4,-2.3,73.06,-0.55,7.00,1.00,,
1957,62,1.3,72.1,-1.6,74.28,0.67,2.00,4.00,,
1958,60.9,0.2,77.1,3.4,72.63,-0.98,12.00,4.00,,
1959,62.8,2.1,73.7,0,73.58,-0.03,25.00,41.00,,
1960,60.5,-0.2,73.9,0.2,73.89,0.28,23.00,25.00,,
1961,62.8,2.1,75.3,1.6,73.24,-0.37,22.00,36.00,,
1962,59,-1.7,73.8,0.1,72.07,-1.54,54.00,56.00,,
1963,61.1,0.4,72.8,-0.9,73.6,-0.01,89.00,75.00,,
1964,60.8,0.1,74,0.3,74.66,1.05,118.00,5.00,,
1965,59,-1.7,73.7,0,72.61,-1,64.00,9.00,,
1966,60,-0.7,75.8,2.1,75.07,1.46,21.00,1.00,,
1967,61.2,0.5,77.8,4.1,72.52,-1.09,34.00,3.00,,
1968,60.7,0,70.9,-2.8,72.86,-0.75,12.00,1.00,,
1969,60.9,0.2,76.1,2.4,74.1,0.49,32.00,1.00,,
1970,60.5,-0.2,75.1,1.4,73.96,0.35,64.00,4.00,,
1971,59.9,-0.8,76,2.3,72.36,-1.25,51.00,1.00,,
1972,62.7,2,74,0.3,72.18,-1.43,12.00,12.00,,
1973,61,0.3,73.3,-0.4,73.26,-0.35,22.00,0.00,,
1974,61.9,1.2,73.7,0,74.08,0.47,71.00,0.00,,
1975,60.8,0.1,72.1,-1.6,73.56,-0.05,29.00,1.00,,
1976,61.9,1.2,69.8,-3.9,72.9,-0.71,34.00,0.00,,
1977,61.3,0.6,75,1.3,74.43,0.82,12.00,0.00,,
1978,61,0.3,73.8,0.1,73.8,0.19,2.00,0.00,,
1979,62.4,1.7,71.9,-1.8,73.13,-0.48,1.00,0.00,,
1980,62.2,1.5,73,-0.7,75.76,2.15,3.00,0.00,,
1981,60.5,-0.2,75.8,2.1,73.96,0.35,36.00,0.00,,
1982,60.6,-0.1,73.9,0.2,73.2,-0.41,7.00,3.00,,
1983,63.2,2.5,73.7,0,73.99,0.38,8.00,2.00,,
1984,63.4,2.7,74.9,1.2,73.17,-0.44,30.00,12.00,,
1985,63.4,2.7,73,-0.7,74.05,0.44,12.00,0.00,,
1986,61.9,1.2,76,2.3,73.51,-0.1,45.00,0.00,,
1987,61.1,0.4,74.3,0.6,73.27,-0.34,27.00,0.00,,
1988,63,2.3,74.6,0.9,74.79,1.18,15.00,13.00,,
1989,61.9,1.2,72.1,-1.6,74.23,0.62,44.00,0.00,,
1990,62.7,2,73.7,0,73.26,-0.35,12.00,0.00,,
1991,61.2,0.5,73.2,-0.5,73.89,0.28,1.00,0.00,,
1992,64.2,3.5,76.2,2.5,71.22,-2.39,54.00,0.00,,
1993,62.5,1.8,73.2,-0.5,72.16,-1.45,12.00,0.00,,
1994,59.6,-1.1,75.8,2.1,73.62,0.01,32.00,1.00,,
1995,64.9,4.2,75,1.3,73.54,-0.07,64.00,6.00,,
1996,62.4,1.7,76.7,3,73.63,0.02,23.00,10.00,,
1997,62.3,1.6,74.9,1.2,73.18,-0.43,12.00,1.00,,
1998,61.6,0.9,77.2,3.5,75.49,1.88,22.00,0.00,,
1999,60.4,-0.3,72.6,-1.1,74.3,0.69,3.00,3.00,,
2000,60.1,-0.6,75,1.3,73.87,0.26,12.00,0.00,,
2001,61.4,0.7,76,2.3,74.48,0.87,30.00,0.00,,
2002,61.7,1,74.4,0.7,75.85,2.24,9.00,0.00,,
2003,62,1.3,75,1.3,75.47,1.86,10.00,0.00,,
2004,62.6,1.9,74.8,1.1,72.9,-0.71,13.00,0.00,,
2005,62.9,2.2,75.8,2.1,75.31,1.7,15.00,0.00,,
2006,64.2,3.5,73.8,0.1,76.41,2.8,31.00,0.00,,
2007,62.8,2.1,76.1,2.4,74.7,1.09,2.00,0.00,,
2008,61.9,1.2,76.6,2.9,74.08,0.47,1.00,0.00,,
2009,60.7,0,74.8,1.1,72.63,-0.98,4.00,0.00,,
2010,60,-0.7,73.4,-0.3,74.71,1.1,6.00,0.00,,
2011,61.3,0.6,75.2,1.5,76.14,2.53,4.00,0.00,,
2012,61,0.3,77.8,4.1,76.77,3.16,12.00,0.00,,
2013,61.6,0.9,74.4,0.7,74.21,0.6,2.00,0.00,,
2014,64.6,3.9,74.9,1.2,73.29,-0.32,1.00,0.00,,
2015,65.2,4.5,76.5,2.8,73.92,0.31,23.00,0.00,,
2016,61.2,0.5,76.2,2.5,75.22,1.61,21.00,0.00,average,62.2
2017,62.3,1.6,77.9,4.2,75.7,2.09,31.00,0.00,,
2018,62.4,1.7,76.4,2.7,75.45,1.84,3.00,0.00,,
2019,62.6,1.9,76.8,3.1,74.62,1.01,4.00,0.00,,
2020,62.3,1.6,78.9,5.2,75.65,2.04,12.00,0.00,,
2021,61.7,1,77,3.3,75.42,1.81,16.00,0.00,,
2022,61.5,0.8,78.4,4.7,76.41,2.8,9.00,0.00,,
year,Bay region Avg Tep,Anomaly,California July Average Temperature,Anomaly,Contiguous U.S. July Average Temperature,Anomaly,DYFG(Half Moon Bay),DYFG(richmood),,
,63.1,2.4,,,75.72,2.11,,,,